m1,m2,a1,a2,DL,z_merger,alpha,beta,gamma,halo_density,d2N_dzdt
1481.39,587.594,0.998,0.548519,98522.33396641002,9.37648,0.285899,0.165581,0.136641,1.19537e-05,1.3162784093295073e-10
514.215,269.337,0.518251,0.961903,79009.7484843931,7.72965,0.099136,0.148702,0.052976,2.43277e-06,2.4341362024110687e-11
768.765,563.468,0.95504,0.824642,135861.99366221417,12.4585,0.129481,0.140411,0.070164,1.50239e-06,1.8700854959582133e-11
726.8,301.341,0.997994,0.998,135483.33199664613,12.4276,0.0813608,0.0156995,0.0900145,4.75455e-06,5.912354890786438e-11
386.739,323.769,0.914918,0.996416,97121.51882472483,9.25924,0.0824858,0.143657,0.0963973,1.99125e-06,2.1797288351442036e-11
382.7,295.36,0.544146,0.811646,113707.90987659451,10.6392,0.173849,0.154015,0.141475,4.45584e-05,5.194464807495864e-10
1053.43,228.694,0.991128,0.959749,105760.67721288845,9.98017,0.102114,0.0417367,0.0703691,4.13375e-06,4.6843642162031633e-11
299.536,277.863,0.65892,0.222145,161196.16905067666,14.5128,0.22747,0.0913741,0.17384,5.48814e-06,7.238196287416077e-11
1053.91,647.322,0.997785,0.998,95864.66388160805,9.15393,0.0684285,0.165662,0.101107,1.88866e-06,2.0562631327116876e-11
1669.73,871.797,0.998,0.998,58095.533640046386,5.92284,0.16865,0.173382,0.0858648,7.39799e-06,6.363657110783026e-11
462.909,313.204,0.997963,0.770414,105926.37919248155,9.99395,0.14357,0.138495,0.152782,7.39799e-06,8.388621682153153e-11
427.819,434.536,0.995437,0.991117,85052.92287896707,8.24306,0.0903899,0.0815665,0.0755068,1.95255e-05,2.0194134024974457e-10
780.391,514.506,0.998,0.953094,46180.850806410795,4.86577,0.0909322,0.112026,0.172521,0.000350144,2.650919972691708e-09
1966.79,486.514,0.997268,0.902212,131127.592048877,12.0717,0.213789,0.103998,0.132627,4.76864e-07,5.861310039986054e-12
683.969,363.457,0.998,0.998,76232.83446880759,7.49258,0.209635,0.0500667,0.165541,1.88866e-06,1.8588089460926572e-11
532.657,368.488,0.94698,0.904584,118033.76865239863,10.9964,0.222948,0.132149,0.093031,9.16675e-07,1.0839323733653858e-11
635.305,782.967,0.998,0.993258,31096.844350073137,3.48258,0.102252,0.0455115,0.132621,7.39799e-06,4.3487697130096865e-11
463.145,314.853,0.965764,0.998,131126.36965467702,12.0716,0.239995,0.119179,0.152342,4.13375e-06,5.08092650146558e-11
308.979,231.573,0.9814,0.871373,67674.71992465643,6.75687,0.0858894,0.0787213,0.139911,0.000284992,2.6496511940993483e-09
443.334,325.152,0.338872,0.546725,140634.20030699723,12.8474,0.124364,0.0690697,0.0571424,4.75455e-06,5.990057188738303e-11
442.411,382.425,0.997458,0.996482,198068.0905565596,17.4647,0.306443,0.135948,0.170655,1.66585e-06,2.3412971684275874e-11
323.043,111.751,0.42686,0.480563,211199.5560218907,18.5072,0.0585943,0.169826,0.164321,1.99125e-06,2.851005441762e-11
381.94,233.963,0.731114,0.998,113860.28822444504,10.6518,0.0603767,0.146181,0.142872,1.50239e-06,1.7523357770092252e-11
1148.7,520.263,0.997748,0.998,118021.64092298801,10.9954,0.172305,0.166201,0.130995,2.64567e-07,3.1282800837192108e-12
630.07,633.376,0.560323,0.295468,88418.10755749885,8.52757,0.223222,0.134109,0.092019,3.78443e-05,3.9810234853503767e-10
1985.19,284.342,0.998,0.975625,88414.19786849336,8.52724,0.143912,0.13939,0.0306891,1.2937e-06,1.3608790179763225e-11
341.929,182.948,0.996839,0.929824,153160.17000071757,13.8638,0.146092,0.108179,0.0974697,1.88866e-06,2.449412246024247e-11
438.483,451.028,0.998,0.998,130712.0263957174,12.0377,0.232471,0.11339,0.13318,1.09481e-06,1.3441384737833033e-11
718.495,728.057,0.998,0.998,51816.82283262401,5.3689,0.214122,0.0961195,0.125901,2.40093e-05,1.9411912647791776e-10
351.738,289.86,0.933031,-0.0447404,172485.78482748652,15.4209,0.0545169,0.149171,0.131837,1.66585e-06,2.2450433312734328e-11
1448.76,966.625,0.998,0.998,116871.15556634126,10.9005,0.243378,0.131865,0.111603,4.76864e-07,5.617653204143798e-12
607.006,547.935,0.96352,0.997983,85639.13479532735,8.29269,0.197385,0.0967747,0.104442,8.25661e-05,8.565240131059435e-10
429.784,354.827,0.892818,0.998,117770.61838442572,10.9747,0.0646073,0.127315,0.0754638,3.15477e-06,3.7272494408181834e-11
752.715,396.765,0.996578,0.995933,137540.5418376567,12.5954,0.155613,0.114556,0.118198,1.13688e-06,1.4212426691662894e-11
718.168,276.615,0.997976,0.826715,105986.86917893843,9.99898,0.0914587,0.168523,0.114757,1.66585e-06,1.889345241964286e-11
450.198,396.147,0.691393,0.737621,130979.68843959794,12.0596,0.207471,0.107495,0.115471,1.4155e-05,1.7391384557319027e-10
526.513,185.157,0.996245,0.998,142283.6959230324,12.9816,0.260779,0.161616,0.106295,1.448e-07,1.8316446421046527e-12
360.68,318.362,0.654869,0.123919,113853.03175327198,10.6512,0.241639,0.134213,0.141954,1.28958e-06,1.5040847331543394e-11
424.612,216.125,0.373625,0.925661,220732.09871462485,19.2615,0.232152,0.162388,0.0754036,1.28958e-06,1.8694429458839002e-11
14665.4,561.799,0.998,0.998,76207.92531180121,7.49045,0.0679785,0.143548,0.0897521,1.09481e-06,1.0773423795271735e-11
358.564,296.157,0.998,0.728599,150659.88858679382,13.6614,0.148411,0.0112312,0.14934,1.2937e-06,1.668607171673425e-11
555.89,531.647,0.875728,0.570808,76114.61019725022,7.48247,0.039288,0.140956,0.132498,7.39799e-06,7.275808491478962e-11
3956.43,1361.36,0.998,0.998,53890.3561568256,5.55255,0.237937,0.125368,0.156809,4.13375e-06,3.415244160052743e-11
1405.43,1007.85,0.998,0.998,88426.99326917776,8.52832,0.152907,0.168074,0.119613,1.4689e-06,1.5452736816833703e-11
972.675,491.869,0.998,0.978521,160696.35741388018,14.4725,0.0954966,0.127226,0.0325556,1.2937e-06,1.7045148505745295e-11
1124.96,728.616,0.998,0.980037,135876.70051624282,12.4597,0.207169,0.130069,0.0952142,4.76864e-07,5.935945308643936e-12
378.682,255.17,0.993047,0.896635,135854.64027851395,12.4579,0.0695118,0.0739168,0.0843162,1.50239e-06,1.87004980422145e-11
377.164,281.315,0.995101,0.967488,105958.48784810251,9.99662,0.134605,0.155934,0.156686,2.40093e-05,2.7227558205549473e-10
1116.02,538.593,0.998,0.998,113836.10012689256,10.6498,0.162608,0.104894,0.109001,1.13688e-06,1.3259093530183003e-11
499.848,495.728,0.99791,0.998,76040.71380391366,7.47615,0.0506443,0.131602,0.0840287,1.95255e-05,1.9194349370339922e-10
769.897,852.057,0.998,0.998,54410.90031218881,5.59854,0.178872,0.105375,0.111846,0.000153766,1.277063706280267e-09
695.05,681.755,0.998,0.997859,113408.03695768658,10.6144,0.166906,0.0663778,0.166891,1.2937e-06,1.5066203011965218e-11
1333.53,330.922,0.998,0.321977,117739.09188064504,10.9721,0.18206,0.0884688,0.160619,1.88866e-06,2.2311594255099442e-11
10766.8,664.529,0.998,0.735763,79079.08777602541,7.73556,0.150405,0.134435,0.123046,1.73533e-06,1.737000739853983e-11
517.329,312.755,0.854116,0.891056,66380.34823715093,6.64487,0.201952,0.0796287,0.167498,1.95255e-05,1.798113643457585e-10
271.74,233.544,0.778976,0.190621,184656.56699235147,16.3955,0.137913,0.0991475,0.113628,6.07727e-07,8.364506874845263e-12
34525.5,648.36,0.998,0.998,73374.43620404243,7.24774,0.153331,0.0493973,0.136429,8.19652e-08,7.923649611979509e-13
251.038,215.25,0.461953,0.0280917,155798.1605174165,14.0771,0.0766041,0.121629,0.16922,8.64289e-06,1.1272601005905136e-10
688.07,600.896,0.998,0.998,91469.72037677371,8.78477,0.245556,0.0930534,0.173437,2.95127e-05,3.1502029350135535e-10
563.689,498.711,0.844713,0.742659,118015.5770940838,10.9949,0.106599,0.131829,0.144851,3.15477e-06,3.730175254949887e-11
546.188,462.533,0.488082,0.990097,121969.32757496547,11.3205,0.148269,0.174407,0.15093,1.66585e-06,1.9941444542114135e-11
510.028,446.985,0.998,0.900197,113759.91022920323,10.6435,0.0715786,0.146123,0.0880451,1.4155e-05,1.6504310630292375e-10
719.096,305.75,0.973501,0.654145,105985.30578476095,9.99885,0.216527,0.11115,0.148135,3.60586e-06,4.0896086022955456e-11
829.374,669.129,0.998,0.998,76235.8750733399,7.49284,0.109726,0.0986792,0.0795714,1.13688e-06,1.118931886371873e-11
498.049,353.361,0.968219,0.998,105996.00905864441,9.99974,0.24053,0.118033,0.124034,3.15477e-06,3.578145682208051e-11
3472.85,536.216,0.998,0.998,22413.905986760117,2.65057,0.145118,0.170847,0.0682384,0.0001252,5.764931998138913e-10
311.068,321.979,0.689349,-0.232329,118021.64092298801,10.9954,0.241263,0.104866,0.142252,1.88866e-06,2.2331800500127093e-11
682.705,459.837,0.986421,0.998,21573.600354330054,2.56801,0.282198,0.155813,0.143032,2.43277e-06,1.0863513623178544e-11
1413.95,340.807,0.998,0.555195,117913.70833863359,10.9865,0.0941933,0.0636908,0.0320964,2.1423e-06,2.5322129951880084e-11
390.799,323.629,0.246718,-0.370024,118033.76865239863,10.9964,0.130798,0.168842,0.118081,1.448e-07,1.7122034272049296e-12
2075.69,1059.47,0.998,0.826363,78870.85151793198,7.71781,0.0678829,0.0513578,0.115898,7.39799e-06,7.396191189859981e-11
727.672,596.287,0.997778,0.968171,131132.48163405983,12.0721,0.146498,0.0895124,0.12475,1.73533e-06,2.1329861775096516e-11
403.145,298.358,0.969235,0.969354,76226.87023776454,7.49207,0.197516,0.0720108,0.126812,5.48814e-06,5.401201218493505e-11
230.707,217.208,0.721502,-0.0821916,91575.82912052484,8.7937,0.142076,0.124422,0.0506756,5.48814e-06,5.860969158952716e-11
628.708,222.939,0.817146,0.339062,83045.13430713494,8.07285,0.0638174,0.127962,0.165328,5.47354e-05,5.601255032837758e-10
844.448,239.397,0.439897,0.553795,73291.57912282289,7.24063,0.183699,0.102928,0.0824161,2.40093e-05,2.319759464023316e-10
799.258,449.926,0.986551,0.996214,98616.42572193276,9.38435,0.197041,0.0958242,0.160809,4.76864e-07,5.253038056333176e-12
388.982,325.182,0.855338,0.950882,105992.88225061557,9.99948,0.151154,0.144409,0.0618827,1.13688e-06,1.2894361765868707e-11
403.084,459.976,0.998,0.706015,198063.06219597897,17.4643,0.0615243,0.124391,0.147056,1.99125e-06,2.798615278614952e-11
571.685,343.945,0.998,0.933466,172904.46998308916,15.4545,0.118957,0.0513204,0.147439,3.62292e-07,4.886275332823974e-12
610.212,437.889,0.911387,0.960123,113600.28711096228,10.6303,0.0858079,0.119294,0.173046,2.95127e-05,3.4392369292217804e-10
367.16,341.865,0.755582,0.745186,150726.55847809924,13.6668,0.0309315,0.0503355,0.0797284,6.07727e-07,7.839592465838334e-12
484.894,440.155,0.997179,0.991827,59829.49543315466,6.07474,0.147038,0.0741232,0.136386,0.000153766,1.3432169346124766e-09
1232.57,252.07,0.998,0.989155,40015.39694464076,4.30774,0.106897,0.042953,0.0876445,2.95127e-05,2.0488966357193917e-10
602.165,550.04,0.989626,0.812382,105958.24733094158,9.9966,0.216419,0.0913055,0.127253,6.35911e-06,7.211492272725432e-11
417.16,388.058,0.691341,0.917696,21639.19237714437,2.57447,0.178694,0.115561,0.0638824,8.64289e-06,3.8689569516349436e-11
446.92,260.828,0.989431,0.901802,83135.04779389467,8.08048,0.241482,0.137118,0.153579,0.000350144,3.5848707893826477e-09
953.542,412.849,0.879647,0.998,131142.26084466133,12.0729,0.125373,0.065319,0.0725593,8.02309e-08,9.861869417775696e-13
884.53,358.082,0.997167,0.99728,113859.07881008861,10.6517,0.0804827,0.0910441,0.0969941,8.02309e-08,9.3578167453509e-13
555.02,486.876,0.762431,0.946892,140259.5071929425,12.8169,0.161317,0.0834207,0.158339,2.95127e-05,3.7147403285694615e-10
